stem_tokens,ending_sign,count,example
AB81 AB02,AB67,4,HT13.txt: AB81 AB02 AB22 AB67
AB54 AB67,AB03,3,HT13.txt: AB54 AB67 AB22 AB03
AB54,AB40,1,HT13.txt: AB54 AB22 AB40
AB51 AB24,AB09,1,HT13.txt: AB51 AB24 AB22 AB09
AB04 AB40,AB59,1,HT13.txt: AB04 AB40 AB22 AB59
AB81 AB02,AB28,1,HT31.txt: AB81 AB02 AB22 AB28
AB54 AB28,AB09,1,HT31.txt: AB54 AB28 AB22 AB09
AB51 AB45,AB59,1,HT31.txt: AB51 AB45 AB22 AB59
AB28 AB67,AB54,1,HT31.txt: AB28 AB67 AB22 AB54
AB54,AB41,1,HT31.txt: AB54 AB22 AB41
AB27 AB17,AB40,1,ZA10.txt: AB27 AB17 AB22 AB40
AB04 AB69,AB67,1,ZA10.txt: AB04 AB69 AB22 AB67
