segment_tokens,count
AB81 AB02 AB22 AB67,4
AB28 AB51 AB24 AB41,4
AB54 AB67 AB22 AB03,3
AB09 AB45 AB59 AB04,3
AB81 AB79 AB30 AB22,2
AB54 AB08 AB23 AB22,2
AB04 AB40 AB81 AB22,2
AB54 AB22 AB40 AB81,1
AB28 AB03 AB59 AB67,1
AB51 AB24 AB22 AB09,1
AB04 AB40 AB22 AB59,1
AB45 AB09 AB81 AB03,1
AB81 AB02 AB22 AB28,1
AB40 AB09 AB45 AB22,1
AB22 AB03 AB81 AB51,1
AB54 AB28 AB22 AB09,1
AB51 AB45 AB22 AB59,1
AB03 AB40 AB28 AB81,1
AB28 AB67 AB22 AB54,1
AB45 AB09 AB81 AB40,1
AB54 AB22 AB41 AB51,1
AB22 AB59 AB28 AB03,1
AB77 AB09 AB45 AB59 AB04,1
AB27 AB17 AB22 AB40,1
AB04 AB69 AB22 AB67,1
